
real	0m0.010s
user	0m0.185s
sys	0m0.005s

real	0m0.012s
user	0m0.183s
sys	0m0.001s

real	0m0.011s
user	0m0.185s
sys	0m0.003s

real	0m0.013s
user	0m0.180s
sys	0m0.012s

real	0m0.015s
user	0m0.190s
sys	0m0.030s

real	0m0.023s
user	0m0.251s
sys	0m0.074s

real	0m0.034s
user	0m0.358s
sys	0m0.156s

real	0m0.053s
user	0m0.415s
sys	0m0.292s

real	0m0.084s
user	0m0.672s
sys	0m0.647s

real	0m0.158s
user	0m1.258s
sys	0m1.227s

real	0m0.327s
user	0m2.314s
sys	0m2.534s





real	0m0.002s
user	0m0.001s
sys	0m0.001s

real	0m0.003s
user	0m0.000s
sys	0m0.003s

real	0m0.006s
user	0m0.001s
sys	0m0.005s

real	0m0.010s
user	0m0.001s
sys	0m0.008s

real	0m0.020s
user	0m0.010s
sys	0m0.010s

real	0m0.039s
user	0m0.017s
sys	0m0.022s

real	0m0.082s
user	0m0.032s
sys	0m0.049s

real	0m0.155s
user	0m0.049s
sys	0m0.105s

real	0m0.309s
user	0m0.110s
sys	0m0.195s

real	0m0.606s
user	0m0.230s
sys	0m0.370s

real	0m1.176s
user	0m0.396s
sys	0m0.770s
